"(0.07,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.07,)","(0,)","(0,)","(0,)","(0,)","(113,)","(115,)","(76,)","(75,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.08,)","(-6,)","(7,)","(10,)","(-8,)","(113,)","(115,)","(76,)","(75,)","(0,)","(5,)","(0,)","(0,)","(93.10770233467565,)"
"(0.08,)","(-8,)","(12,)","(20,)","(-13,)","(113,)","(115,)","(76,)","(75,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.08,)","(-7,)","(10,)","(16,)","(-11,)","(113,)","(115,)","(76,)","(75,)","(2,)","(6,)","(0,)","(0,)","(93.10770233467565,)"
"(0.09,)","(-7,)","(10,)","(17,)","(-11,)","(113,)","(115,)","(76,)","(75,)","(0,)","(0,)","(4,)","(2,)","(93.10770233467565,)"
"(0.1,)","(-7,)","(10,)","(17,)","(-11,)","(113,)","(115,)","(76,)","(75,)","(17,)","(18,)","(11,)","(10,)","(93.10770233467565,)"
"(0.13,)","(-7,)","(10,)","(17,)","(-11,)","(112,)","(115,)","(76,)","(75,)","(31,)","(28,)","(17,)","(34,)","(93.10770233467565,)"
"(0.16,)","(-7,)","(10,)","(17,)","(-11,)","(112,)","(116,)","(76,)","(75,)","(43,)","(40,)","(26,)","(45,)","(93.10770233467565,)"
"(0.2,)","(-7,)","(11,)","(18,)","(-10,)","(112,)","(116,)","(77,)","(74,)","(53,)","(52,)","(39,)","(60,)","(93.10770233467565,)"
"(0.25,)","(-6,)","(12,)","(19,)","(-9,)","(112,)","(116,)","(77,)","(74,)","(63,)","(63,)","(47,)","(55,)","(93.10770233467565,)"
"(0.31,)","(-5,)","(13,)","(20,)","(-8,)","(111,)","(116,)","(78,)","(73,)","(78,)","(78,)","(53,)","(54,)","(93.10770233467565,)"
"(0.37,)","(-4,)","(14,)","(23,)","(-5,)","(110,)","(117,)","(79,)","(73,)","(88,)","(88,)","(66,)","(66,)","(93.10770233467565,)"
"(0.45,)","(-1,)","(15,)","(25,)","(-4,)","(110,)","(117,)","(80,)","(72,)","(97,)","(102,)","(74,)","(66,)","(93.10770233467565,)"
"(0.5,)","(-1,)","(17,)","(26,)","(-1,)","(110,)","(117,)","(80,)","(72,)","(102,)","(108,)","(78,)","(72,)","(93.10770233467565,)"
"(0.58,)","(0,)","(19,)","(29,)","(0,)","(109,)","(118,)","(81,)","(71,)","(111,)","(114,)","(80,)","(78,)","(93.10770233467565,)"
"(0.67,)","(0,)","(20,)","(30,)","(2,)","(108,)","(118,)","(82,)","(70,)","(108,)","(117,)","(83,)","(72,)","(93.10770233467565,)"
"(0.75,)","(3,)","(23,)","(34,)","(6,)","(107,)","(119,)","(84,)","(69,)","(111,)","(121,)","(86,)","(72,)","(93.10770233467565,)"
"(0.83,)","(6,)","(25,)","(37,)","(9,)","(106,)","(119,)","(85,)","(68,)","(115,)","(121,)","(86,)","(70,)","(93.10770233467565,)"
