"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-26.14,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-8.71,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(6,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(6.54,)","(0.0,)","(0.0,)","('null',)","(6,)","(0,)","(0,)","('null',)","(1,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-6.54,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(1,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(1,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(1,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(1,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(1,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(2,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(2.9,)","(0.0,)","(0.0,)","('null',)","(2,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-2.9,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(5,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(5.23,)","(0.0,)","(0.0,)","('null',)","(5,)","(0,)","(0,)","('null',)","(1,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-5.23,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
"(26,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)"
