"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.06,)","(0.06,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.06,)","(0.06,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(24,)","(25,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(24.64,)","(25.1,)","(0,)","(0,)","('null',)","('null',)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-0.06,)","(-0.06,)","(-24.69,)","(-25.16,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(6,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(6.06,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)"
"(21,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(15.1,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(0,)","(0,)","(0,)"
"(51,)","(4,)","(4,)","(4,)","(8,)","(-7,)","(-7,)","(7,)","(1,)","(1,)","(1,)","(1,)","(7,)","(7,)","(7,)","(7,)","(30.12,)","(4.6,)","(4.85,)","(4.46,)","('null',)","(4,)","(4,)","(4,)"
"(31,)","(222,)","(4,)","(4,)","(23,)","(-23,)","(-18,)","(18,)","(1,)","(1,)","(0,)","(0,)","(15,)","(15,)","(11,)","(10,)","(-20.27,)","(217.62,)","(0.0,)","(0.0,)","('null',)","('null',)","(4,)","(4,)"
"(32,)","(24,)","(51,)","(31,)","(36,)","(-36,)","(-20,)","(20,)","(1,)","(1,)","(3,)","(2,)","(12,)","(13,)","(1,)","(1,)","(1.51,)","(-197.53,)","(47.1,)","(27.29,)","(32,)","('null',)","('null',)","('null',)"
"(60,)","(24,)","(51,)","(31,)","(37,)","(-36,)","(-14,)","(15,)","(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-5,)","(-4,)","(28.09,)","(0.0,)","(0.0,)","(0.0,)","('null',)","(24,)","(51,)","(31,)"
"(39,)","(0,)","(14,)","(14,)","(30,)","(-29,)","(-11,)","(12,)","(1,)","(0,)","(1,)","(1,)","(-6,)","(-6,)","(-3,)","(-2,)","(-21.39,)","(-24.69,)","(-37.46,)","(-16.76,)","('null',)","(0,)","(14,)","(14,)"
"(44,)","(7,)","(20,)","(20,)","(27,)","(-26,)","(-12,)","(13,)","(2,)","(1,)","(1,)","(1,)","(-2,)","(-2,)","(1,)","(1,)","(5.23,)","(7.41,)","(5.71,)","(5.22,)","('null',)","('null',)","('null',)","('null',)"
"(45,)","(7,)","(23,)","(20,)","(29,)","(-29,)","(-14,)","(15,)","(2,)","(0,)","(1,)","(0,)","(2,)","(2,)","(2,)","(1,)","(0.75,)","(0.0,)","(3.61,)","(0.0,)","(45,)","(7,)","(23,)","(20,)"
"(47,)","(13,)","(30,)","(27,)","(31,)","(-31,)","(-15,)","(15,)","(2,)","(1,)","(1,)","(2,)","(1,)","(1,)","(0,)","(0,)","(2.42,)","(6.48,)","(6.49,)","(7.29,)","(47,)","('null',)","('null',)","('null',)"
