"(95,)","(41,)","(45,)","(45,)","(0,)","(0,)","(0,)","(0,)","(36.41,)","(1.26,)","(4.79,)","(4.95,)","('null',)","(41,)","(45,)","(45,)","(40,)","(34,)","(35,)","(34,)"
"(68,)","(78,)","(88,)","(72,)","(7,)","(-7,)","(-7,)","(7,)","(-26.27,)","(36.76,)","(43.69,)","(26.75,)","(68,)","('null',)","('null',)","('null',)","(47,)","(38,)","(37,)","(36,)"
"(49,)","(51,)","(47,)","(74,)","(22,)","(-23,)","(-18,)","(18,)","(-19.58,)","(-27.15,)","(-41.27,)","(1.35,)","(49,)","(51,)","(47,)","(74,)","(51,)","(41,)","(40,)","(45,)"
"(54,)","(41,)","(66,)","(111,)","(35,)","(-37,)","(-20,)","(21,)","(5.04,)","(-9.62,)","(19.05,)","(37.04,)","(54,)","(41,)","('null',)","('null',)","(57,)","(43,)","(42,)","(49,)"
"(32,)","(31,)","(66,)","(62,)","(36,)","(-37,)","(-14,)","(16,)","(-21.9,)","(-9.92,)","(0.0,)","(-48.61,)","(32,)","(31,)","(66,)","(62,)","(52,)","(40,)","(49,)","(55,)"
"(65,)","(28,)","(68,)","(66,)","(30,)","(-29,)","(-11,)","(12,)","(32.52,)","(-2.76,)","(2.3,)","(4.17,)","('null',)","(28,)","(68,)","(66,)","(50,)","(38,)","(56,)","(61,)"
"(66,)","(31,)","(70,)","(68,)","(28,)","(-25,)","(-12,)","(13,)","(1.63,)","(2.02,)","(1.21,)","(2.3,)","(66,)","(31,)","(70,)","(68,)","(53,)","(36,)","(62,)","(67,)"
"(39,)","(39,)","(68,)","(71,)","(29,)","(-28,)","(-14,)","(14,)","(-27.45,)","(8.79,)","(-1.21,)","(2.46,)","(39,)","(39,)","(68,)","(71,)","(48,)","(36,)","(63,)","(68,)"
"(106,)","(40,)","(75,)","(76,)","(31,)","(-31,)","(-15,)","(15,)","(67.45,)","(0.6,)","(6.51,)","(5.49,)","('null',)","(40,)","(75,)","(76,)","(47,)","(35,)","(69,)","(68,)"
"(39,)","(43,)","(81,)","(81,)","(31,)","(-31,)","(-14,)","(15,)","(-66.87,)","(2.61,)","(6.16,)","(4.71,)","(39,)","(43,)","(81,)","(81,)","(44,)","(35,)","(71,)","(70,)"
"(76,)","(43,)","(86,)","(86,)","(31,)","(-30,)","(-14,)","(15,)","(37.12,)","(0.0,)","(4.39,)","(5.32,)","('null',)","(43,)","(86,)","(86,)","(48,)","(37,)","(74,)","(74,)"
"(44,)","(44,)","(90,)","(88,)","(30,)","(-29,)","(-14,)","(15,)","(-32.48,)","(1.43,)","(4.89,)","(1.93,)","(44,)","(44,)","(90,)","(88,)","(47,)","(40,)","(78,)","(78,)"
"(46,)","(49,)","(91,)","(90,)","(29,)","(-29,)","(-14,)","(15,)","(2.34,)","(4.94,)","(1.04,)","(2.02,)","(46,)","(49,)","(91,)","(90,)","(42,)","(43,)","(81,)","(82,)"
