"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(161985,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(162036,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(162087,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(162138,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.06,)","(0.08,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(162189,)"
"(0,)","(0,)","(25,)","(26,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(25.58,)","(26.06,)","(0,)","(0,)","('null',)","('null',)","(0,)","(0,)","(0,)","(0,)","(162240,)"
"(0,)","(0,)","(25,)","(26,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","('null',)","('null',)","(0,)","(0,)","(0,)","(0,)","(162291,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(-25.64,)","(-26.14,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(162342,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(162393,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.06,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(162444,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.06,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(162495,)"
"(0,)","(0,)","(4,)","(3,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-0.06,)","(-0.06,)","(4.54,)","(3.93,)","(0,)","(0,)","(4,)","(3,)","(0,)","(0,)","(0,)","(0,)","(162546,)"
"(0,)","(7,)","(4,)","(3,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(7.84,)","(0.0,)","(0.0,)","(0,)","(7,)","(4,)","(3,)","(0,)","(1,)","(1,)","(1,)","(162597,)"
"(13,)","(7,)","(11,)","(13,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(13.54,)","(0.0,)","(6.48,)","(9.14,)","(13,)","(7,)","(11,)","(13,)","(2,)","(2,)","(3,)","(3,)","(162648,)"
"(13,)","(15,)","(17,)","(13,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(8.03,)","(6.3,)","(0.0,)","(13,)","(15,)","(17,)","(13,)","(4,)","(4,)","(6,)","(5,)","(162699,)"
"(23,)","(20,)","(17,)","(18,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(9.86,)","(4.64,)","(0.0,)","(5.71,)","(23,)","(20,)","(17,)","(18,)","(8,)","(8,)","(8,)","(8,)","(162750,)"
"(25,)","(27,)","(22,)","(24,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.25,)","(6.7,)","(4.91,)","(5.91,)","(25,)","(27,)","(22,)","(24,)","(12,)","(12,)","(12,)","(12,)","(162801,)"
"(70,)","(31,)","(29,)","(29,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(44.53,)","(4.54,)","(7.74,)","(4.94,)","('null',)","(31,)","(29,)","(29,)","(14,)","(17,)","(16,)","(16,)","(162852,)"
"(36,)","(35,)","(35,)","(34,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-34.14,)","(3.34,)","(5.13,)","(5.0,)","(36,)","(35,)","(35,)","(34,)","(22,)","(22,)","(21,)","(21,)","(162903,)"
"(51,)","(43,)","(40,)","(40,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(15.25,)","(7.92,)","(5.32,)","(5.77,)","(51,)","(43,)","(40,)","(40,)","(29,)","(28,)","(26,)","(26,)","(162954,)"
"(45,)","(44,)","(41,)","(44,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-6.08,)","(1.43,)","(1.26,)","(4.04,)","(45,)","(44,)","(41,)","(44,)","(36,)","(33,)","(30,)","(31,)","(163005,)"
"(68,)","(49,)","(48,)","(48,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(23.18,)","(4.94,)","(6.82,)","(4.04,)","('null',)","(49,)","(48,)","(48,)","(39,)","(38,)","(35,)","(36,)","(163056,)"
"(68,)","(53,)","(51,)","(53,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(3.95,)","(2.8,)","(4.85,)","('null',)","(53,)","(51,)","(53,)","(44,)","(42,)","(40,)","(41,)","(163107,)"
"(68,)","(55,)","(53,)","(57,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.59,)","(2.22,)","(2.05,)","(4.64,)","('null',)","(55,)","(53,)","(57,)","(44,)","(46,)","(44,)","(46,)","(163158,)"
"(121,)","(59,)","(57,)","(61,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(52.25,)","(3.7,)","(3.81,)","(3.57,)","('null',)","(59,)","(57,)","(61,)","(48,)","(50,)","(48,)","(50,)","(163209,)"
"(72,)","(61,)","(60,)","(63,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-48.48,)","(2.28,)","(3.46,)","(1.95,)","('null',)","(61,)","(60,)","(63,)","(45,)","(53,)","(51,)","(54,)","(163260,)"
"(83,)","(65,)","(62,)","(64,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(10.61,)","(3.5,)","(1.41,)","(1.02,)","('null',)","(65,)","(62,)","(64,)","('null',)","(57,)","(55,)","(57,)","(163311,)"
"(76,)","(66,)","(65,)","(66,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-6.41,)","(1.63,)","(3.56,)","(2.15,)","(76,)","(66,)","(65,)","(66,)","(76,)","(59,)","(58,)","(60,)","(163362,)"
"(83,)","(70,)","(68,)","(68,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(6.41,)","(3.51,)","(2.8,)","(2.3,)","(83,)","(70,)","(68,)","(68,)","(79,)","(62,)","(60,)","(63,)","(163413,)"
"(80,)","(70,)","(67,)","(70,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-3.33,)","(0.0,)","(-0.58,)","(1.21,)","(80,)","(70,)","(67,)","(70,)","(79,)","(65,)","(63,)","(65,)","(163464,)"
"(83,)","(74,)","(74,)","(72,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(3.33,)","(3.9,)","(6.28,)","(1.9,)","(83,)","(74,)","(74,)","(72,)","(80,)","(67,)","(66,)","(67,)","(163515,)"
"(76,)","(75,)","(74,)","(75,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-7.14,)","(1.4,)","(0.0,)","(3.4,)","(76,)","(75,)","(74,)","(75,)","(79,)","(70,)","(68,)","(69,)","(163566,)"
"(76,)","(76,)","(76,)","(75,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.73,)","(1.45,)","(2.85,)","(0.0,)","(76,)","(76,)","(76,)","(75,)","(79,)","(71,)","(70,)","(71,)","(163617,)"
"(80,)","(80,)","(78,)","(78,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(3.08,)","(3.08,)","(1.51,)","(2.96,)","(80,)","(80,)","(78,)","(78,)","(79,)","(74,)","(72,)","(73,)","(163668,)"
"(83,)","(83,)","(81,)","(80,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(3.33,)","(3.33,)","(3.2,)","(1.57,)","(83,)","(83,)","(81,)","(80,)","(79,)","(76,)","(75,)","(75,)","(163719,)"
"(84,)","(83,)","(80,)","(82,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.32,)","(0.0,)","(-1.63,)","(2.05,)","(84,)","(83,)","(80,)","(82,)","(80,)","(78,)","(77,)","(77,)","(163770,)"
"(86,)","(86,)","(83,)","(83,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.3,)","(2.69,)","(3.33,)","(1.28,)","(86,)","(86,)","(83,)","(83,)","(80,)","(80,)","(78,)","(78,)","(163821,)"
"(86,)","(86,)","(83,)","(85,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.94,)","(0.0,)","(1.77,)","(86,)","(86,)","(83,)","(85,)","(82,)","(82,)","(80,)","(80,)","(163872,)"
"(87,)","(86,)","(86,)","(83,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.48,)","(0.0,)","(2.69,)","(-1.77,)","(87,)","(86,)","(86,)","(83,)","(84,)","(84,)","(81,)","(81,)","(163923,)"
"(88,)","(87,)","(85,)","(86,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.46,)","(0.48,)","(-0.92,)","(3.62,)","(88,)","(87,)","(85,)","(86,)","(85,)","(85,)","(83,)","(83,)","(163974,)"
"(88,)","(88,)","(86,)","(86,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(1.46,)","(1.85,)","(-0.94,)","(88,)","(88,)","(86,)","(86,)","(86,)","(86,)","(83,)","(84,)","(164025,)"
"(88,)","(88,)","(86,)","(86,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.94,)","(88,)","(88,)","(86,)","(86,)","(87,)","(86,)","(84,)","(84,)","(164076,)"
"(90,)","(90,)","(87,)","(85,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.02,)","(2.02,)","(0.48,)","(-1.85,)","(90,)","(90,)","(87,)","(85,)","(87,)","(87,)","(85,)","(85,)","(164127,)"
"(91,)","(91,)","(88,)","(88,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.04,)","(1.04,)","(1.46,)","(3.78,)","(91,)","(91,)","(88,)","(88,)","(88,)","(88,)","(86,)","(85,)","(164178,)"
"(93,)","(93,)","(90,)","(90,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.07,)","(1.07,)","(1.51,)","(2.02,)","(93,)","(93,)","(90,)","(90,)","(89,)","(89,)","(87,)","(86,)","(164229,)"
"(93,)","(91,)","(88,)","(90,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.54,)","(-1.07,)","(-1.51,)","(-0.51,)","(93,)","(91,)","(88,)","(90,)","(90,)","(90,)","(87,)","(87,)","(164280,)"
