"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(361564,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(361615,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(361666,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(361717,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.08,)","(0.06,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(361768,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.06,)","(0.06,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(361819,)"
"(15,)","(0,)","(17,)","(15,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(15.63,)","(0.0,)","(17.01,)","(15.81,)","(15,)","(0,)","(17,)","(15,)","(2,)","(0,)","(2,)","(2,)","(361870,)"
"(15,)","(11,)","(17,)","(15,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(11.64,)","(0.0,)","(0.0,)","(15,)","(11,)","(17,)","(15,)","(5,)","(1,)","(5,)","(5,)","(361921,)"
"(0,)","(11,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-15.69,)","(0.0,)","(-17.09,)","(-15.87,)","(0,)","(11,)","(0,)","(0,)","(5,)","(3,)","(5,)","(5,)","(361972,)"
"(18,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(18.02,)","(-11.7,)","(0.0,)","(0.0,)","(18,)","(0,)","(0,)","(0,)","(8,)","(3,)","(5,)","(5,)","(362023,)"
"(18,)","(0,)","(6,)","(6,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(6.44,)","(6.54,)","(18,)","(0,)","(6,)","(6,)","(11,)","(3,)","(6,)","(6,)","(362074,)"
"(18,)","(6,)","(6,)","(6,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(6.67,)","(0.0,)","(0.0,)","(18,)","(6,)","(6,)","(6,)","(14,)","(4,)","(7,)","(7,)","(362125,)"
"(0,)","(6,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-18.02,)","(0.0,)","(-6.44,)","(-6.54,)","(0,)","(6,)","(0,)","(0,)","(11,)","(5,)","(4,)","(4,)","(362176,)"
"(10,)","(11,)","(9,)","(9,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(10.58,)","(4.93,)","(9.52,)","(9.73,)","(10,)","(11,)","(9,)","(9,)","(10,)","(5,)","(3,)","(3,)","(362227,)"
"(15,)","(11,)","(15,)","(17,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(5.1,)","(0.0,)","(5.8,)","(7.36,)","(15,)","(11,)","(15,)","(17,)","(13,)","(5,)","(6,)","(6,)","(362278,)"
"(45,)","(16,)","(21,)","(21,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(30.29,)","(5.07,)","(6.53,)","(4.07,)","('null',)","(16,)","(21,)","(21,)","(12,)","(8,)","(9,)","(9,)","(362329,)"
"(27,)","(23,)","(26,)","(27,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-18.77,)","(7.14,)","(4.81,)","(6.61,)","(27,)","(23,)","(26,)","(27,)","(14,)","(12,)","(12,)","(13,)","(362380,)"
"(59,)","(29,)","(29,)","(32,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(32.05,)","(5.49,)","(2.96,)","(4.74,)","('null',)","(29,)","(29,)","(32,)","(13,)","(16,)","(16,)","(17,)","(362431,)"
"(74,)","(35,)","(35,)","(36,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(14.81,)","(5.78,)","(5.46,)","(3.52,)","('null',)","(35,)","(35,)","(36,)","(17,)","(20,)","(22,)","(23,)","(362482,)"
"(38,)","(39,)","(38,)","(40,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-35.98,)","(4.13,)","(3.01,)","(4.37,)","(38,)","(39,)","(38,)","(40,)","(26,)","(25,)","(27,)","(28,)","(362533,)"
"(60,)","(44,)","(43,)","(44,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(22.51,)","(5.23,)","(4.92,)","(4.04,)","('null',)","(44,)","(43,)","(44,)","(32,)","(31,)","(32,)","(33,)","(362584,)"
"(62,)","(46,)","(45,)","(48,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.41,)","(2.34,)","(2.19,)","(4.04,)","('null',)","(46,)","(45,)","(48,)","(32,)","(36,)","(36,)","(37,)","(362635,)"
"(53,)","(51,)","(51,)","(53,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-8.68,)","(4.5,)","(6.08,)","(4.85,)","(53,)","(51,)","(51,)","(53,)","(45,)","(40,)","(40,)","(42,)","(362686,)"
"(63,)","(54,)","(53,)","(54,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(10.16,)","(3.14,)","(2.05,)","(1.09,)","(63,)","(54,)","(53,)","(54,)","(51,)","(44,)","(44,)","(45,)","(362737,)"
"(63,)","(57,)","(57,)","(59,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(3.55,)","(4.64,)","(4.84,)","(63,)","(57,)","(57,)","(59,)","(54,)","(48,)","(47,)","(49,)","(362788,)"
"(59,)","(61,)","(60,)","(61,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-4.23,)","(3.57,)","(2.64,)","(2.28,)","(59,)","(61,)","(60,)","(61,)","(59,)","(52,)","(51,)","(53,)","(362839,)"
"(70,)","(65,)","(63,)","(65,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(10.92,)","(3.5,)","(2.89,)","(3.5,)","(70,)","(65,)","(63,)","(65,)","(61,)","(55,)","(54,)","(56,)","(362890,)"
