"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(28506,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(28557,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.05,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(28608,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-0.05,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(28659,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(28710,)"
"(0,)","(0,)","(28,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(28.99,)","(0.05,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)","(0,)","(0,)","(28761,)"
"(0,)","(0,)","(28,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(-0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","('null',)","(0,)","(0,)","(0,)","(0,)","(0,)","(28812,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(-28.99,)","(-0.05,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(28863,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(28914,)"
"(0,)","(0,)","(6,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(6.47,)","(0.0,)","(0,)","(0,)","(6,)","(0,)","(0,)","(0,)","(1,)","(0,)","(28965,)"
"(5,)","(0,)","(6,)","(5,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(5.98,)","(0.0,)","(0.0,)","(5.51,)","(5,)","(0,)","(6,)","(5,)","(0,)","(0,)","(3,)","(0,)","(29016,)"
"(5,)","(0,)","(0,)","(5,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(-6.47,)","(0.0,)","(5,)","(0,)","(0,)","(5,)","(1,)","(0,)","(2,)","(1,)","(29067,)"
"(5,)","(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(3.27,)","(0.0,)","(-5.51,)","(5,)","(3,)","(0,)","(0,)","(2,)","(0,)","(2,)","(1,)","(29118,)"
"(5,)","(111,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(107.84,)","(0.0,)","(0.0,)","(5,)","('null',)","(0,)","(0,)","(3,)","(0,)","(2,)","(1,)","(29169,)"
"(0,)","(111,)","(5,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-5.98,)","(0.0,)","(5.38,)","(0.0,)","(0,)","('null',)","(5,)","(0,)","(3,)","(0,)","(2,)","(1,)","(29220,)"
"(8,)","(10,)","(5,)","(5,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(8.33,)","(-100.78,)","(0.0,)","(5.95,)","(8,)","(10,)","(5,)","(5,)","(4,)","(3,)","(2,)","(2,)","(29271,)"
"(32,)","(10,)","(14,)","(15,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(24.19,)","(0.0,)","(8.66,)","(9.37,)","('null',)","(10,)","(14,)","(15,)","(4,)","(5,)","(4,)","(4,)","(29322,)"
"(45,)","(17,)","(21,)","(21,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(13.46,)","(7.44,)","(7.13,)","(5.84,)","('null',)","(17,)","(21,)","(21,)","(4,)","(10,)","(7,)","(6,)","(29373,)"
"(28,)","(22,)","(26,)","(26,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-17.61,)","(5.21,)","(5.5,)","(5.5,)","(28,)","(22,)","(26,)","(26,)","(10,)","(14,)","(11,)","(11,)","(29424,)"
"(62,)","(28,)","(31,)","(31,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(33.65,)","(5.38,)","(4.34,)","(5.08,)","('null',)","(28,)","(31,)","(31,)","(12,)","(17,)","(17,)","(16,)","(29475,)"
"(74,)","(34,)","(45,)","(34,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(12.06,)","(6.26,)","(14.19,)","(2.44,)","('null',)","(34,)","(45,)","(34,)","(18,)","(20,)","(23,)","(22,)","(29526,)"
"(40,)","(39,)","(56,)","(39,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-33.67,)","(4.58,)","(11.54,)","(5.61,)","(40,)","(39,)","(56,)","(39,)","(34,)","(25,)","(32,)","(27,)","(29577,)"
"(62,)","(43,)","(45,)","(45,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(21.61,)","(3.8,)","(-11.54,)","(5.4,)","('null',)","(43,)","(45,)","(45,)","(34,)","(30,)","(37,)","(32,)","(29628,)"
"(63,)","(48,)","(47,)","(49,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1.48,)","(5.47,)","(2.42,)","(4.18,)","('null',)","(48,)","(47,)","(49,)","(34,)","(35,)","(41,)","(37,)","(29679,)"
"(53,)","(52,)","(51,)","(49,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-10.16,)","(3.8,)","(3.66,)","(0.0,)","(53,)","(52,)","(51,)","(49,)","(46,)","(40,)","(45,)","(41,)","(29730,)"
"(76,)","(55,)","(55,)","(56,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(22.86,)","(3.27,)","(4.27,)","(6.96,)","('null',)","(55,)","(55,)","(56,)","(46,)","(45,)","(49,)","(45,)","(29781,)"
"(78,)","(57,)","(59,)","(60,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.24,)","(2.42,)","(3.7,)","(4.27,)","('null',)","(57,)","(59,)","(60,)","(46,)","(49,)","(52,)","(49,)","(29832,)"
"(86,)","(62,)","(62,)","(62,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(7.59,)","(4.53,)","(2.76,)","(1.41,)","('null',)","(62,)","(62,)","(62,)","(53,)","(52,)","(53,)","(53,)","(29883,)"
"(65,)","(63,)","(64,)","(64,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-20.98,)","(0.99,)","(2.5,)","(2.5,)","(65,)","(63,)","(64,)","(64,)","(59,)","(56,)","(56,)","(56,)","(29934,)"
"(91,)","(67,)","(68,)","(66,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(26.91,)","(4.3,)","(4.45,)","(2.15,)","('null',)","(67,)","(68,)","(66,)","(59,)","(59,)","(59,)","(59,)","(29985,)"
"(111,)","(70,)","(70,)","(70,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(19.16,)","(2.38,)","(1.21,)","(3.51,)","('null',)","(70,)","(70,)","(70,)","(65,)","(62,)","(63,)","(63,)","(30036,)"
"(98,)","(72,)","(71,)","(71,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-12.35,)","(1.9,)","(1.25,)","(1.25,)","('null',)","(72,)","(71,)","(71,)","(65,)","(65,)","(65,)","(65,)","(30087,)"
