"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.3,)","(-0.0,)","(-0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-0.3,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.29,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(0,)","(0,)"
"(5,)","(0,)","(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(0,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0,)","(5.44,)","(0.0,)","(3.97,)","(-0.29,)","('null',)","(0,)","(3,)","(0,)"
"(5,)","(3,)","(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(3.52,)","(0.0,)","(0.0,)","(5,)","(3,)","(3,)","(0,)"
"(5,)","(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(0.0,)","(-3.97,)","(0.0,)","(5,)","(3,)","(0,)","(0,)"
"(5,)","(22,)","(8,)","(6,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(18.89,)","(8.03,)","(6.12,)","(5,)","('null',)","('null',)","('null',)"
"(12,)","(51,)","(8,)","(6,)","(0,)","(0,)","(0,)","(0,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(6.68,)","(28.87,)","(0.0,)","(0.0,)","('null',)","('null',)","(8,)","(6,)"
"(25,)","(16,)","(15,)","(14,)","(0,)","(0,)","(0,)","(0,)","(1,)","(1,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(13.04,)","(-34.62,)","(7.47,)","(8.07,)","('null',)","(16,)","('null',)","('null',)"
"(50,)","(16,)","(20,)","(19,)","(0,)","(0,)","(0,)","(0,)","(2,)","(0,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(25.16,)","(0.0,)","(5.33,)","(4.86,)","('null',)","(16,)","('null',)","(19,)"
"(50,)","(21,)","(25,)","(25,)","(0,)","(0,)","(0,)","(0,)","(0,)","(1,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(5.19,)","(4.81,)","(6.11,)","(50,)","('null',)","(25,)","('null',)"
"(35,)","(27,)","(28,)","(29,)","(0,)","(0,)","(0,)","(0,)","(2,)","(2,)","(1,)","(1,)","(0,)","(0,)","(0,)","(0,)","(-15.23,)","(5.63,)","(3.34,)","(4.47,)","(35,)","('null',)","(28,)","(29,)"
"(74,)","(33,)","(33,)","(34,)","(0,)","(0,)","(0,)","(0,)","(2,)","(1,)","(1,)","(2,)","(0,)","(0,)","(0,)","(0,)","(38.99,)","(5.84,)","(4.35,)","(4.56,)","('null',)","('null',)","(33,)","(34,)"
"(38,)","(35,)","(37,)","(39,)","(0,)","(0,)","(0,)","(0,)","(1,)","(1,)","(2,)","(1,)","(0,)","(0,)","(0,)","(0,)","(-35.98,)","(1.75,)","(3.7,)","(5.03,)","(38,)","(35,)","(37,)","('null',)"
"(66,)","(75,)","(133,)","(54,)","(3,)","(-2,)","(-2,)","(2,)","(2,)","(3,)","(3,)","(2,)","(3,)","(2,)","(2,)","(2,)","(28.57,)","(40.38,)","(96.3,)","(15.21,)","('null',)","('null',)","('null',)","('null',)"
"(43,)","(43,)","(42,)","(52,)","(8,)","(-8,)","(-6,)","(7,)","(1,)","(2,)","(2,)","(2,)","(4,)","(5,)","(3,)","(4,)","(-23.66,)","(-32.46,)","(-91.01,)","(-2.13,)","(43,)","('null',)","('null',)","('null',)"
"(70,)","(91,)","(46,)","(60,)","(13,)","(-14,)","(-11,)","(13,)","(3,)","(2,)","(2,)","(2,)","(5,)","(5,)","(4,)","(5,)","(27.16,)","(48.94,)","(4.46,)","(8.32,)","('null',)","('null',)","(46,)","('null',)"
