"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
"(0,)","(0,)","(36,)","(0,)","(0.0,)","(0.0,)","(0.0,)","(0.0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(36,)","(0,)","(0,)","(0,)","(0,)","(0,)"
