"('rawRPM0',)","('rawRPM1',)","('rawRPM2',)","('rawRPM3',)","('rawAngle0',)","('rawAngle1',)","('rawAngle2',)","('rawAngle3',)","('desiredRPM0',)","('desireRPM1',)","('desiredRPM2',)","('desiredRPM3',)","('desiredAngle0',)","('desiredAngle1',)","('desiredAngle2',)","('desiredAngle3',)","('deltaAngle0',)","('deltaAngle1',)","('deltaAngle2',)","('deltaAngle3',)","('deltaRPM0',)","('deltaRPM1',)","('deltaRPM2',)","('deltaRPM3',)","('HighDeltaFilterRPM0',)","('HighDeltaFilterRPM1',)","('HighDeltaFilterRPM2',)","('HighDeltaFilterRPM3',)","('boxFilterRPM0',)","('boxFilterRPM1',)","('boxFilterRPM2',)","('boxFilterRPM3',)","('TeensyTimeMicroSeconds',)"
"(11,)","(7,)","(3,)","(3,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(11.11,)","(7.37,)","(3.79,)","(0.0,)","(11,)","(7,)","(3,)","(3,)","(1,)","(1,)","(0,)","(1,)","(58191,)"
"(30,)","(7,)","(3,)","(0,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(19.19,)","(0.0,)","(0.0,)","(-3.98,)","(30,)","(7,)","(3,)","(0,)","(6,)","(2,)","(1,)","(1,)","(58242,)"
"(30,)","(14,)","(13,)","(12,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0.0,)","(6.97,)","(9.28,)","(12.7,)","(30,)","(14,)","(13,)","(12,)","(11,)","(4,)","(3,)","(3,)","(58293,)"
"(21,)","(21,)","(19,)","(19,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-9.14,)","(7.52,)","(6.83,)","(7.2,)","(21,)","(21,)","(19,)","(19,)","(15,)","(8,)","(6,)","(6,)","(58344,)"
"(55,)","(26,)","(25,)","(24,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(34.39,)","(4.81,)","(5.26,)","(4.79,)","('null',)","(26,)","(25,)","(24,)","(18,)","(12,)","(10,)","(10,)","(58395,)"
"(57,)","(30,)","(28,)","(28,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(2.42,)","(3.64,)","(3.83,)","(3.68,)","('null',)","(30,)","(28,)","(28,)","(23,)","(17,)","(15,)","(14,)","(58446,)"
"(34,)","(35,)","(32,)","(35,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-23.78,)","(4.78,)","(3.53,)","(6.72,)","(34,)","(35,)","(32,)","(35,)","(28,)","(22,)","(20,)","(19,)","(58497,)"
"(51,)","(38,)","(38,)","(39,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(17.09,)","(3.56,)","(6.13,)","(4.13,)","(51,)","(38,)","(38,)","(39,)","(34,)","(27,)","(25,)","(26,)","(58548,)"
"(44,)","(45,)","(44,)","(43,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(-6.84,)","(6.55,)","(5.8,)","(4.5,)","(44,)","(45,)","(44,)","(43,)","(37,)","(32,)","(31,)","(31,)","(58599,)"
"(66,)","(47,)","(47,)","(47,)","(0,)","(0,)","(0,)","(0,)","(131,)","(131,)","(131,)","(131,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(22.22,)","(2.42,)","(3.17,)","(3.9,)","('null',)","(47,)","(47,)","(47,)","(43,)","(36,)","(35,)","(36,)","(58650,)"
