"(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(39,)","(7,)","(0,)","(0,)","(162.93847908568236,)"
"(0,)","(651,)","(244,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(39,)","(0,)","(0,)","(0,)","(162.93847908568236,)"
"(0,)","(651,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(62,)","(0,)","(0,)","(0,)","(162.93847908568236,)"
"(0,)","(651,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(162.93847908568236,)"
"(0,)","(651,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(162.93847908568236,)"
"(0,)","(651,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(6,)","(7,)","(0,)","(0,)","(162.93847908568236,)"
"(0,)","(651,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(25,)","(24,)","(0,)","(0,)","(162.93847908568236,)"
"(0,)","(651,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(25,)","(24,)","(0,)","(0,)","(162.93847908568236,)"
"(0,)","(651,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(0,)","(162.93847908568236,)"
"(0,)","(640,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(0,)","(2,)","(162.93847908568236,)"
"(0,)","(651,)","(4,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(0,)","(0,)","(2,)","(0,)","(162.93847908568236,)"
"(0,)","(651,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(4,)","(3,)","(2,)","(0,)","(162.93847908568236,)"
"(0,)","(622,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(15,)","(3,)","(11,)","(7,)","(162.93847908568236,)"
"(0,)","(585,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(21,)","(22,)","(19,)","(16,)","(162.93847908568236,)"
"(0,)","(540,)","(-5,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(33,)","(27,)","(30,)","(27,)","(162.93847908568236,)"
"(0,)","(494,)","(-8,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(38,)","(35,)","(35,)","(39,)","(162.93847908568236,)"
"(0,)","(467,)","(-11,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(43,)","(45,)","(44,)","(45,)","(162.93847908568236,)"
"(0,)","(454,)","(-2,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(49,)","(51,)","(51,)","(49,)","(162.93847908568236,)"
"(0,)","(429,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(57,)","(59,)","(57,)","(55,)","(162.93847908568236,)"
"(0,)","(385,)","(-6,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(63,)","(65,)","(66,)","(66,)","(162.93847908568236,)"
"(0,)","(355,)","(-8,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(72,)","(70,)","(74,)","(74,)","(162.93847908568236,)"
"(0,)","(338,)","(-3,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(83,)","(80,)","(78,)","(78,)","(162.93847908568236,)"
"(0,)","(296,)","(-8,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(83,)","(83,)","(88,)","(88,)","(162.93847908568236,)"
"(0,)","(270,)","(-9,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(95,)","(95,)","(95,)","(95,)","(162.93847908568236,)"
"(0,)","(241,)","(-5,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(98,)","(100,)","(102,)","(102,)","(162.93847908568236,)"
"(0,)","(225,)","(2,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(108,)","(108,)","(108,)","(106,)","(162.93847908568236,)"
"(0,)","(194,)","(0,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(117,)","(117,)","(117,)","(114,)","(162.93847908568236,)"
"(0,)","(143,)","(-8,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(250,)","(250,)","(124,)","(121,)","(125,)","(126,)","(162.93847908568236,)"
"(0,)","(135,)","(-6,)","(0,)","(0,)","(0,)","(0,)","(250,)","(250,)","(267,)","(250,)","(129,)","(126,)","(133,)","(129,)","(162.93847908568236,)"
"(40,)","(100,)","(-1,)","(0,)","(0,)","(0,)","(0,)","(276,)","(280,)","(294,)","(276,)","(137,)","(136,)","(137,)","(137,)","(162.93847908568236,)"
"(62,)","(80,)","(-3,)","(0,)","(0,)","(0,)","(0,)","(253,)","(299,)","(269,)","(281,)","(148,)","(140,)","(148,)","(142,)","(162.93847908568236,)"
"(64,)","(42,)","(-6,)","(0,)","(0,)","(0,)","(0,)","(249,)","(255,)","(230,)","(253,)","(152,)","(152,)","(156,)","(152,)","(162.93847908568236,)"
"(59,)","(24,)","(-6,)","(0,)","(0,)","(0,)","(0,)","(204,)","(260,)","(239,)","(234,)","(162,)","(152,)","(156,)","(156,)","(162.93847908568236,)"
"(51,)","(5,)","(-7,)","(0,)","(0,)","(0,)","(0,)","(211,)","(203,)","(210,)","(211,)","(161,)","(162,)","(161,)","(161,)","(162.93847908568236,)"
"(38,)","(0,)","(-1,)","(0,)","(0,)","(0,)","(0,)","(201,)","(209,)","(203,)","(203,)","(172,)","(161,)","(166,)","(166,)","(162.93847908568236,)"
