"(0.07,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(139.66155350201345,)"
"(0.07,)","(0,)","(0,)","(0,)","(0,)","(166,)","(169,)","(116,)","(116,)","(0,)","(0,)","(0,)","(0,)","(139.66155350201345,)"
"(0.07,)","(0,)","(0,)","(0,)","(0,)","(166,)","(169,)","(116,)","(116,)","(0,)","(0,)","(0,)","(0,)","(139.66155350201345,)"
"(0.08,)","(0,)","(0,)","(0,)","(0,)","(166,)","(169,)","(116,)","(116,)","(3,)","(0,)","(0,)","(0,)","(139.66155350201345,)"
"(0.08,)","(-8,)","(12,)","(19,)","(-12,)","(165,)","(169,)","(117,)","(115,)","(0,)","(24,)","(0,)","(6,)","(139.66155350201345,)"
"(0.08,)","(-5,)","(11,)","(15,)","(-8,)","(165,)","(169,)","(117,)","(115,)","(0,)","(0,)","(0,)","(0,)","(139.66155350201345,)"
"(0.09,)","(-5,)","(11,)","(15,)","(-8,)","(165,)","(169,)","(117,)","(115,)","(5,)","(7,)","(1,)","(0,)","(139.66155350201345,)"
"(0.1,)","(-5,)","(11,)","(15,)","(-8,)","(165,)","(169,)","(117,)","(115,)","(9,)","(12,)","(0,)","(3,)","(139.66155350201345,)"
"(0.12,)","(-5,)","(11,)","(15,)","(-8,)","(165,)","(170,)","(117,)","(115,)","(24,)","(27,)","(18,)","(12,)","(139.66155350201345,)"
"(0.15,)","(-5,)","(11,)","(16,)","(-8,)","(165,)","(170,)","(118,)","(114,)","(37,)","(38,)","(27,)","(30,)","(139.66155350201345,)"
"(0.19,)","(-5,)","(11,)","(17,)","(-7,)","(164,)","(170,)","(118,)","(114,)","(47,)","(51,)","(33,)","(45,)","(139.66155350201345,)"
"(0.23,)","(-4,)","(12,)","(18,)","(-6,)","(163,)","(171,)","(119,)","(113,)","(62,)","(57,)","(44,)","(55,)","(139.66155350201345,)"
"(0.29,)","(-3,)","(13,)","(21,)","(-3,)","(163,)","(171,)","(120,)","(112,)","(72,)","(74,)","(55,)","(53,)","(139.66155350201345,)"
"(0.35,)","(0,)","(15,)","(23,)","(-2,)","(162,)","(172,)","(121,)","(111,)","(83,)","(86,)","(66,)","(60,)","(139.66155350201345,)"
"(0.42,)","(0,)","(18,)","(25,)","(0,)","(160,)","(173,)","(123,)","(110,)","(102,)","(100,)","(76,)","(70,)","(139.66155350201345,)"
"(0.48,)","(1,)","(18,)","(27,)","(2,)","(160,)","(173,)","(123,)","(110,)","(105,)","(111,)","(83,)","(72,)","(139.66155350201345,)"
"(0.57,)","(3,)","(21,)","(30,)","(5,)","(159,)","(173,)","(125,)","(109,)","(117,)","(121,)","(91,)","(83,)","(139.66155350201345,)"
"(0.66,)","(5,)","(23,)","(33,)","(9,)","(156,)","(174,)","(126,)","(108,)","(125,)","(137,)","(100,)","(88,)","(139.66155350201345,)"
"(0.77,)","(9,)","(25,)","(36,)","(13,)","(154,)","(175,)","(131,)","(105,)","(137,)","(148,)","(111,)","(95,)","(139.66155350201345,)"
