"(0.07,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(116.38462791834455,)"
"(0.07,)","(0,)","(0,)","(0,)","(0,)","(157,)","(163,)","(88,)","(84,)","(0,)","(0,)","(0,)","(0,)","(116.38462791834455,)"
"(0.08,)","(-9,)","(12,)","(13,)","(-12,)","(157,)","(163,)","(88,)","(84,)","(0,)","(24,)","(0,)","(25,)","(116.38462791834455,)"
"(0.08,)","(-11,)","(18,)","(37,)","(-25,)","(156,)","(163,)","(89,)","(83,)","(0,)","(0,)","(0,)","(0,)","(116.38462791834455,)"
"(0.08,)","(-10,)","(15,)","(30,)","(-20,)","(156,)","(163,)","(89,)","(83,)","(0,)","(0,)","(0,)","(0,)","(116.38462791834455,)"
"(0.09,)","(-10,)","(15,)","(32,)","(-20,)","(156,)","(163,)","(89,)","(83,)","(2,)","(4,)","(2,)","(0,)","(116.38462791834455,)"
"(0.11,)","(-10,)","(15,)","(32,)","(-20,)","(156,)","(163,)","(89,)","(83,)","(19,)","(17,)","(10,)","(3,)","(116.38462791834455,)"
"(0.13,)","(-10,)","(16,)","(32,)","(-20,)","(155,)","(164,)","(90,)","(82,)","(33,)","(35,)","(17,)","(19,)","(116.38462791834455,)"
"(0.16,)","(-10,)","(17,)","(33,)","(-19,)","(155,)","(164,)","(91,)","(81,)","(45,)","(45,)","(25,)","(22,)","(116.38462791834455,)"
"(0.19,)","(-9,)","(17,)","(34,)","(-17,)","(155,)","(164,)","(91,)","(81,)","(55,)","(57,)","(34,)","(29,)","(116.38462791834455,)"
"(0.23,)","(-7,)","(19,)","(36,)","(-15,)","(154,)","(165,)","(93,)","(79,)","(65,)","(70,)","(45,)","(36,)","(116.38462791834455,)"
"(0.29,)","(-6,)","(20,)","(38,)","(-13,)","(151,)","(167,)","(97,)","(76,)","(78,)","(80,)","(49,)","(41,)","(116.38462791834455,)"
"(0.35,)","(-3,)","(23,)","(42,)","(-8,)","(149,)","(168,)","(101,)","(73,)","(88,)","(100,)","(60,)","(48,)","(116.38462791834455,)"
"(0.42,)","(-2,)","(25,)","(45,)","(-3,)","(146,)","(169,)","(104,)","(70,)","(98,)","(111,)","(72,)","(54,)","(116.38462791834455,)"
"(0.51,)","(0,)","(28,)","(49,)","(0,)","(143,)","(170,)","(108,)","(67,)","(114,)","(125,)","(80,)","(57,)","(116.38462791834455,)"
"(0.59,)","(3,)","(30,)","(53,)","(7,)","(139,)","(171,)","(113,)","(64,)","(121,)","(133,)","(93,)","(57,)","(116.38462791834455,)"
"(0.68,)","(7,)","(34,)","(58,)","(17,)","(135,)","(171,)","(118,)","(62,)","(125,)","(148,)","(97,)","(59,)","(116.38462791834455,)"
"(0.78,)","(11,)","(37,)","(62,)","(26,)","(130,)","(171,)","(123,)","(61,)","(126,)","(156,)","(108,)","(63,)","(116.38462791834455,)"
"(0.89,)","(15,)","(41,)","(67,)","(36,)","(125,)","(171,)","(128,)","(60,)","(125,)","(162,)","(121,)","(57,)","(116.38462791834455,)"
"(0.99,)","(20,)","(45,)","(72,)","(48,)","(119,)","(171,)","(134,)","(61,)","(125,)","(170,)","(129,)","(59,)","(116.38462791834455,)"
"(1.1,)","(27,)","(50,)","(77,)","(61,)","(113,)","(170,)","(139,)","(63,)","(121,)","(170,)","(137,)","(60,)","(116.38462791834455,)"
"(1.21,)","(31,)","(54,)","(82,)","(71,)","(107,)","(168,)","(144,)","(66,)","(117,)","(177,)","(140,)","(60,)","(116.38462791834455,)"
