"(0.11,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.11,)","(0,)","(0,)","(0,)","(0,)","(81,)","(81,)","(107,)","(106,)","(0,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.12,)","(0,)","(0,)","(0,)","(0,)","(81,)","(81,)","(107,)","(106,)","(4,)","(0,)","(0,)","(1,)","(93.10770233467565,)"
"(0.12,)","(8,)","(-14,)","(-9,)","(5,)","(81,)","(81,)","(107,)","(106,)","(0,)","(24,)","(0,)","(15,)","(93.10770233467565,)"
"(0.13,)","(5,)","(-10,)","(-7,)","(5,)","(80,)","(81,)","(107,)","(106,)","(6,)","(0,)","(0,)","(0,)","(93.10770233467565,)"
"(0.13,)","(5,)","(-10,)","(-7,)","(5,)","(80,)","(81,)","(107,)","(106,)","(0,)","(0,)","(0,)","(5,)","(93.10770233467565,)"
"(0.14,)","(5,)","(-10,)","(-7,)","(5,)","(80,)","(81,)","(107,)","(106,)","(6,)","(4,)","(4,)","(11,)","(93.10770233467565,)"
"(0.16,)","(5,)","(-10,)","(-7,)","(5,)","(80,)","(81,)","(107,)","(106,)","(17,)","(14,)","(22,)","(27,)","(93.10770233467565,)"
"(0.19,)","(5,)","(-11,)","(-8,)","(4,)","(80,)","(81,)","(107,)","(105,)","(25,)","(30,)","(38,)","(36,)","(93.10770233467565,)"
"(0.23,)","(5,)","(-11,)","(-8,)","(4,)","(80,)","(81,)","(108,)","(105,)","(36,)","(37,)","(49,)","(49,)","(93.10770233467565,)"
"(0.27,)","(5,)","(-12,)","(-9,)","(3,)","(80,)","(81,)","(108,)","(105,)","(47,)","(51,)","(60,)","(63,)","(93.10770233467565,)"
"(0.33,)","(3,)","(-13,)","(-9,)","(3,)","(80,)","(81,)","(108,)","(105,)","(60,)","(60,)","(76,)","(74,)","(93.10770233467565,)"
"(0.4,)","(3,)","(-14,)","(-10,)","(2,)","(79,)","(82,)","(108,)","(105,)","(66,)","(70,)","(86,)","(86,)","(93.10770233467565,)"
"(0.46,)","(2,)","(-15,)","(-11,)","(1,)","(79,)","(82,)","(108,)","(104,)","(70,)","(74,)","(95,)","(95,)","(93.10770233467565,)"
"(0.55,)","(0,)","(-18,)","(-12,)","(0,)","(79,)","(83,)","(108,)","(104,)","(76,)","(78,)","(102,)","(97,)","(93.10770233467565,)"
"(0.63,)","(0,)","(-18,)","(-13,)","(0,)","(78,)","(83,)","(109,)","(104,)","(80,)","(86,)","(106,)","(108,)","(93.10770233467565,)"
"(0.72,)","(-3,)","(-21,)","(-16,)","(-2,)","(78,)","(84,)","(109,)","(103,)","(83,)","(86,)","(111,)","(105,)","(93.10770233467565,)"
"(0.8,)","(-3,)","(-23,)","(-16,)","(-2,)","(78,)","(84,)","(109,)","(103,)","(80,)","(88,)","(114,)","(105,)","(93.10770233467565,)"
"(0.89,)","(-7,)","(-25,)","(-19,)","(-5,)","(77,)","(85,)","(109,)","(102,)","(80,)","(88,)","(114,)","(108,)","(93.10770233467565,)"
"(0.97,)","(-7,)","(-25,)","(-19,)","(-5,)","(77,)","(85,)","(110,)","(102,)","(78,)","(88,)","(114,)","(106,)","(93.10770233467565,)"
"(1.03,)","(-10,)","(-27,)","(-20,)","(-7,)","(77,)","(85,)","(110,)","(102,)","(81,)","(91,)","(115,)","(108,)","(93.10770233467565,)"
"(1.12,)","(-12,)","(-29,)","(-22,)","(-8,)","(76,)","(86,)","(110,)","(101,)","(80,)","(88,)","(111,)","(105,)","(93.10770233467565,)"
"(1.2,)","(-13,)","(-30,)","(-24,)","(-9,)","(76,)","(87,)","(110,)","(101,)","(78,)","(91,)","(114,)","(105,)","(93.10770233467565,)"
"(1.29,)","(-16,)","(-33,)","(-24,)","(-12,)","(76,)","(87,)","(110,)","(100,)","(78,)","(88,)","(111,)","(105,)","(93.10770233467565,)"
"(1.37,)","(-18,)","(-35,)","(-27,)","(-12,)","(76,)","(88,)","(110,)","(100,)","(76,)","(90,)","(111,)","(102,)","(93.10770233467565,)"
"(1.46,)","(-20,)","(-37,)","(-27,)","(-15,)","(75,)","(88,)","(111,)","(99,)","(76,)","(90,)","(114,)","(102,)","(93.10770233467565,)"
"(1.54,)","(-22,)","(-37,)","(-29,)","(-17,)","(75,)","(89,)","(111,)","(99,)","(78,)","(90,)","(111,)","(102,)","(93.10770233467565,)"
"(1.63,)","(-24,)","(-40,)","(-31,)","(-17,)","(75,)","(89,)","(111,)","(98,)","(78,)","(93,)","(114,)","(102,)","(93.10770233467565,)"
"(1.71,)","(-26,)","(-42,)","(-31,)","(-20,)","(75,)","(90,)","(111,)","(98,)","(74,)","(88,)","(111,)","(100,)","(93.10770233467565,)"
"(1.79,)","(-29,)","(-44,)","(-34,)","(-20,)","(75,)","(90,)","(111,)","(97,)","(80,)","(91,)","(111,)","(100,)","(93.10770233467565,)"
"(1.87,)","(-30,)","(-44,)","(-34,)","(-23,)","(75,)","(91,)","(111,)","(97,)","(78,)","(88,)","(111,)","(97,)","(93.10770233467565,)"
"(1.95,)","(-33,)","(-47,)","(-35,)","(-23,)","(74,)","(91,)","(111,)","(96,)","(78,)","(91,)","(111,)","(95,)","(93.10770233467565,)"
"(2.04,)","(-35,)","(-47,)","(-38,)","(-26,)","(74,)","(92,)","(111,)","(96,)","(78,)","(88,)","(108,)","(95,)","(93.10770233467565,)"
"(2.12,)","(-37,)","(-50,)","(-38,)","(-26,)","(74,)","(92,)","(111,)","(95,)","(78,)","(95,)","(108,)","(98,)","(93.10770233467565,)"
"(2.21,)","(-39,)","(-52,)","(-41,)","(-29,)","(74,)","(93,)","(111,)","(95,)","(76,)","(91,)","(111,)","(98,)","(93.10770233467565,)"
"(2.29,)","(-41,)","(-52,)","(-41,)","(-31,)","(74,)","(94,)","(111,)","(94,)","(74,)","(91,)","(108,)","(95,)","(93.10770233467565,)"
"(2.34,)","(-42,)","(-54,)","(-43,)","(-31,)","(74,)","(94,)","(111,)","(94,)","(74,)","(91,)","(108,)","(91,)","(93.10770233467565,)"
"(2.42,)","(-44,)","(-56,)","(-44,)","(-33,)","(74,)","(94,)","(111,)","(94,)","(74,)","(95,)","(111,)","(95,)","(93.10770233467565,)"
"(2.51,)","(-45,)","(-57,)","(-45,)","(-34,)","(74,)","(95,)","(111,)","(93,)","(74,)","(93,)","(106,)","(93,)","(93.10770233467565,)"
"(2.59,)","(-48,)","(-58,)","(-46,)","(-35,)","(74,)","(95,)","(111,)","(92,)","(72,)","(95,)","(111,)","(93,)","(93.10770233467565,)"
"(2.67,)","(-49,)","(-61,)","(-49,)","(-38,)","(74,)","(96,)","(111,)","(92,)","(74,)","(95,)","(111,)","(91,)","(93.10770233467565,)"
"(2.75,)","(-52,)","(-61,)","(-49,)","(-40,)","(74,)","(96,)","(111,)","(91,)","(76,)","(91,)","(108,)","(91,)","(93.10770233467565,)"
"(2.84,)","(-53,)","(-64,)","(-50,)","(-40,)","(74,)","(97,)","(111,)","(91,)","(76,)","(95,)","(111,)","(88,)","(93.10770233467565,)"
"(2.92,)","(-56,)","(-64,)","(-53,)","(-43,)","(74,)","(97,)","(111,)","(90,)","(76,)","(95,)","(106,)","(88,)","(93.10770233467565,)"
"(3.0,)","(-59,)","(-67,)","(-53,)","(-45,)","(75,)","(98,)","(111,)","(89,)","(74,)","(98,)","(108,)","(88,)","(93.10770233467565,)"
"(3.08,)","(-60,)","(-68,)","(-55,)","(-45,)","(75,)","(98,)","(110,)","(89,)","(72,)","(97,)","(111,)","(88,)","(93.10770233467565,)"
"(3.16,)","(-63,)","(-69,)","(-57,)","(-48,)","(75,)","(99,)","(110,)","(88,)","(72,)","(98,)","(108,)","(86,)","(93.10770233467565,)"
"(3.24,)","(-64,)","(-70,)","(-57,)","(-49,)","(75,)","(99,)","(110,)","(88,)","(70,)","(95,)","(106,)","(88,)","(93.10770233467565,)"
"(3.32,)","(-67,)","(-73,)","(-58,)","(-50,)","(75,)","(100,)","(110,)","(87,)","(72,)","(97,)","(108,)","(86,)","(93.10770233467565,)"
"(3.4,)","(-68,)","(-73,)","(-61,)","(-53,)","(75,)","(100,)","(110,)","(87,)","(72,)","(95,)","(108,)","(86,)","(93.10770233467565,)"
"(3.48,)","(-71,)","(-76,)","(-61,)","(-55,)","(76,)","(101,)","(110,)","(86,)","(74,)","(97,)","(105,)","(86,)","(93.10770233467565,)"
"(3.56,)","(-72,)","(-76,)","(-63,)","(-55,)","(76,)","(101,)","(109,)","(86,)","(76,)","(98,)","(105,)","(83,)","(93.10770233467565,)"
"(3.64,)","(-73,)","(-79,)","(-65,)","(-58,)","(76,)","(102,)","(109,)","(85,)","(76,)","(100,)","(108,)","(86,)","(93.10770233467565,)"
"(3.7,)","(-75,)","(-79,)","(-65,)","(-59,)","(76,)","(102,)","(109,)","(85,)","(74,)","(97,)","(108,)","(83,)","(93.10770233467565,)"
"(3.77,)","(-77,)","(-81,)","(-66,)","(-60,)","(76,)","(102,)","(109,)","(85,)","(78,)","(102,)","(105,)","(83,)","(93.10770233467565,)"
"(3.86,)","(-79,)","(-82,)","(-67,)","(-62,)","(77,)","(103,)","(109,)","(84,)","(76,)","(102,)","(105,)","(83,)","(93.10770233467565,)"
"(3.94,)","(-80,)","(-83,)","(-70,)","(-63,)","(77,)","(103,)","(108,)","(84,)","(78,)","(102,)","(105,)","(80,)","(93.10770233467565,)"
"(4.02,)","(-84,)","(-86,)","(-70,)","(-66,)","(77,)","(104,)","(108,)","(83,)","(78,)","(102,)","(106,)","(83,)","(93.10770233467565,)"
"(4.1,)","(-84,)","(-86,)","(-73,)","(-67,)","(78,)","(104,)","(108,)","(83,)","(83,)","(98,)","(106,)","(80,)","(93.10770233467565,)"
"(4.18,)","(-87,)","(-87,)","(-73,)","(-70,)","(78,)","(104,)","(108,)","(82,)","(78,)","(100,)","(106,)","(86,)","(93.10770233467565,)"
"(4.27,)","(-88,)","(-89,)","(-75,)","(-70,)","(79,)","(105,)","(107,)","(82,)","(83,)","(102,)","(105,)","(83,)","(93.10770233467565,)"
