"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(139,)","(139,)","(139,)","(139,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(197,)","(197,)","(197,)","(197,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(255,)","(255,)","(255,)","(255,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(313,)","(313,)","(313,)","(313,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(371,)","(371,)","(371,)","(371,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(0.5,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
"(8.02,)","(400,)","(400,)","(400,)","(400,)","(0,)","(0,)","(0,)","(0,)","(1,)"
